"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
A3-KAW,DLBC,blood,B_cell_lymphoma,22.021571,0.988180
SCC-3,DLBC,blood,B_cell_lymphoma,16.850211,0.988199
NB14,NB,nervous_system,neuroblastoma,48.991948,0.988312
CAL-148,BRCA,breast,breast,49.270704,0.988331
THP-1,LAML,blood,acute_myeloid_leukaemia,42.098062,0.988528
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,47.203825,0.988687
ES-2,UNCLASSIFIED,urogenital_system,ovary,56.118481,0.988708
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,53.891823,0.988854
EJM,MM,blood,lymphoid_neoplasm_other,38.372642,0.988879
CMK,LAML,blood,acute_myeloid_leukaemia,30.685128,0.989601
YT,ALL,blood,lymphoid_neoplasm_other,46.666644,0.990050
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,45.252729,0.990603
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,33.851749,0.991201
IM-9,MM,blood,myeloma,37.967369,0.991537
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,24.973031,0.991804
NCI-H64,SCLC,lung,lung_small_cell_carcinoma,29.887630,0.993494
OCI-M1,LAML,blood,acute_myeloid_leukaemia,24.811049,0.994081
